Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[W]
05.01.2013 12:45;0.065911432;28;10;7100
05.01.2013 13:00;0.057878476;28;10;4200
05.01.2013 13:15;0.10545829;28;10;4200
05.01.2013 13:30;0.105252317;28;10;4600
05.01.2013 13:45;0.119670443;28;10;8700
05.01.2013 14:00;0.095571576;28;10;8200
05.01.2013 14:15;0.044902163;28;10;4400
05.01.2013 14:30;0.011740474;28;10;4300
05.01.2013 14:45;0.009680742;28;10;4100
05.01.2013 15:00;0.01277034;28;10;7000
05.01.2013 15:15;0.011534501;28;10;8900
05.01.2013 15:30;0.002883625;28;10;5800
05.01.2013 15:45;0;28;10;4400
05.01.2013 16:00;0;28;10;4100
05.01.2013 16:15;0;28;10;4200
05.01.2013 16:30;0;28;10;6200
05.01.2013 16:45;0;28;10;9200
05.01.2013 17:00;0;28;10;6600
05.01.2013 17:15;0;28;10;5400
05.01.2013 17:30;0;28;10;5800
05.01.2013 17:45;0;28;10;6200
05.01.2013 18:00;0;28;10;10200
05.01.2013 18:15;0;28;10;9300
05.01.2013 18:30;0;28;10;6200
05.01.2013 18:45;0;28;10;6000
05.01.2013 19:00;0;28;10;6400
05.01.2013 19:15;0;28;10;8000
05.01.2013 19:30;0;28;10;10500
05.01.2013 19:45;0;28;10;7300
05.01.2013 20:00;0;28;10;6000
05.01.2013 20:15;0;28;10;6100
05.01.2013 20:30;0;28;10;6300
05.01.2013 20:45;0;28;10;10500
05.01.2013 21:00;0;28;10;9400
05.01.2013 21:15;0;28;10;5900
05.01.2013 21:30;0;28;10;6100
05.01.2013 21:45;0;28;10;6300
05.01.2013 22:00;0;28;10;7800
05.01.2013 22:15;0;28;10;10100
05.01.2013 22:30;0;28;10;6200
05.01.2013 22:45;0;28;10;5400
05.01.2013 23:00;0;28;10;5600
05.01.2013 23:15;0;28;10;5300
05.01.2013 23:30;0;28;10;9900
05.01.2013 23:45;0;28;10;8600
06.01.2013 00:00;0;28;10;5400
06.01.2013 00:15;0;28;10;5500
06.01.2013 00:30;0;28;10;5300
06.01.2013 00:45;0;28;10;8100
06.01.2013 01:00;0;28;10;9800
06.01.2013 01:15;0;28;10;5800
06.01.2013 01:30;0;28;10;5600
06.01.2013 01:45;0;28;10;5400
06.01.2013 02:00;0;28;10;6300
06.01.2013 02:15;0;28;10;9700
06.01.2013 02:30;0;28;10;7800
06.01.2013 02:45;0;28;10;5500
06.01.2013 03:00;0;28;10;5500
06.01.2013 03:15;0;28;10;5600
06.01.2013 03:30;0;28;10;8700
06.01.2013 03:45;0;28;10;9600
06.01.2013 04:00;0;28;10;5500
06.01.2013 04:15;0;28;10;5500
06.01.2013 04:30;0;28;10;6100
06.01.2013 04:45;0;28;10;9400
06.01.2013 05:00;0;28;10;10400
06.01.2013 05:15;0;28;10;6400
06.01.2013 05:30;0;28;10;6200
06.01.2013 05:45;0;28;10;6100
06.01.2013 06:00;0;28;10;8000
06.01.2013 06:15;0;28;10;10500
06.01.2013 06:30;0;28;10;8200
06.01.2013 06:45;0;28;10;6000
06.01.2013 07:00;0;28;10;5400
06.01.2013 07:15;0;28;10;6300
06.01.2013 07:30;0;28;10;9700
06.01.2013 07:45;0;28;10;8400
06.01.2013 08:00;0.00638517;28;10;5200
06.01.2013 08:15;0.018331617;28;10;5000
06.01.2013 08:30;0.009680742;28;10;5200
06.01.2013 08:45;0.006591143;28;10;9300
06.01.2013 09:00;0.016477858;28;10;9700
06.01.2013 09:15;0.018331617;28;10;7200
06.01.2013 09:30;0.018743563;28;10;4100
06.01.2013 09:45;0.023686921;28;10;4500
06.01.2013 10:00;0.017507724;28;10;5200
06.01.2013 10:15;0.014212152;28;10;8800
06.01.2013 10:30;0.029248198;28;10;8500
06.01.2013 10:45;0.020185376;28;10;4600
06.01.2013 11:00;0.010092688;28;10;4100
06.01.2013 11:15;0.024716787;28;10;4200
06.01.2013 11:30;0.023069001;28;10;7600
06.01.2013 11:45;0.039752832;28;10;8600
06.01.2013 12:00;0.039546859;28;10;6200
06.01.2013 12:15;0.043666323;28;10;4100
06.01.2013 12:30;0.057672503;28;10;4900
06.01.2013 12:45;0.030278064;28;10;4400
06.01.2013 13:00;0.046343975;28;10;8800
06.01.2013 13:15;0.107929969;28;10;8600
06.01.2013 13:30;0.039340886;28;10;4300
06.01.2013 13:45;0.323171988;28;10;4200
06.01.2013 14:00;0.109165808;28;10;4500
06.01.2013 14:15;0.122348095;28;10;7200
06.01.2013 14:30;0.011328527;28;10;8100
06.01.2013 14:45;0;28;10;4200
06.01.2013 15:00;0;28;10;4200
06.01.2013 15:15;0;28;10;6000
06.01.2013 15:30;0;28;10;8500
06.01.2013 15:45;0;28;10;8200
06.01.2013 16:00;0;28;10;4100
06.01.2013 16:15;0;28;10;4300
06.01.2013 16:30;0;28;10;4400
06.01.2013 16:45;0;28;10;6900
06.01.2013 17:00;0;28;10;9500
06.01.2013 17:15;0;28;10;7000
06.01.2013 17:30;0;28;10;6000
06.01.2013 17:45;0;28;10;6200
06.01.2013 18:00;0;28;10;7800
06.01.2013 18:15;0;28;10;10300
06.01.2013 18:30;0;28;10;7900
06.01.2013 18:45;0;28;10;6000
06.01.2013 19:00;0;28;10;6200
06.01.2013 19:15;0;28;10;7400
06.01.2013 19:30;0;28;10;10400
06.01.2013 19:45;0;28;10;8600
06.01.2013 20:00;0;28;10;6200
06.01.2013 20:15;0;28;10;6100
06.01.2013 20:30;0;28;10;6200
06.01.2013 20:45;0;28;10;10200
06.01.2013 21:00;0;28;10;9800
06.01.2013 21:15;0;28;10;6200
06.01.2013 21:30;0;28;10;6300
06.01.2013 21:45;0;28;10;6000
06.01.2013 22:00;0;28;10;8300
06.01.2013 22:15;0;28;10;9900
06.01.2013 22:30;0;28;10;6000
06.01.2013 22:45;0;28;10;5500
06.01.2013 23:00;0;28;10;5400
06.01.2013 23:15;0;28;10;7200
06.01.2013 23:30;0;28;10;10000
06.01.2013 23:45;0;28;10;6800
07.01.2013 00:00;0;28;10;5600
07.01.2013 00:15;0;28;10;5300
07.01.2013 00:30;0;28;10;6200
07.01.2013 00:45;0;28;10;10100
07.01.2013 01:00;0;28;10;7900
07.01.2013 01:15;0;28;10;5500
07.01.2013 01:30;0;28;10;5200
07.01.2013 01:45;0;28;10;5400
07.01.2013 02:00;0;28;10;9300
07.01.2013 02:15;0;28;10;9200
07.01.2013 02:30;0;28;10;5400
07.01.2013 02:45;0;28;10;5500
07.01.2013 03:00;0;28;10;5200
07.01.2013 03:15;0;28;10;7500
07.01.2013 03:30;0;28;10;9600
07.01.2013 03:45;0;28;10;6600
07.01.2013 04:00;0;28;10;5700
07.01.2013 04:15;0;28;10;5300
07.01.2013 04:30;0;28;10;6600
07.01.2013 04:45;0;28;10;10400
07.01.2013 05:00;0;28;10;9000
07.01.2013 05:15;0;28;10;6200
07.01.2013 05:30;0;28;10;6000
07.01.2013 05:45;0;28;10;6300
07.01.2013 06:00;0;28;10;9600
07.01.2013 06:15;0;28;10;15400
07.01.2013 06:30;0;28;10;12300
07.01.2013 06:45;0;28;10;11900
07.01.2013 07:00;0;28;10;5500
07.01.2013 07:15;0;28;10;8200
07.01.2013 07:30;0;28;10;11000
07.01.2013 07:45;0.011328527;28;10;9300
07.01.2013 08:00;0.016065911;28;10;7400
07.01.2013 08:15;0.01791967;28;10;7600
07.01.2013 08:30;0.026158599;28;10;7500
07.01.2013 08:45;0.039340886;28;10;11300
07.01.2013 09:00;0.064057673;28;10;11300
07.01.2013 09:15;0.065087539;28;10;6900
07.01.2013 09:30;0.076622039;28;10;5900
07.01.2013 09:45;0.09969104;28;10;5500
07.01.2013 10:00;0.119258496;28;10;5700
07.01.2013 10:15;0.089186406;28;10;7200
07.01.2013 10:30;0.105046344;28;10;9900
07.01.2013 10:45;0.116786818;28;10;7100
07.01.2013 11:00;0.140061792;28;10;5600
07.01.2013 11:15;0.228012358;28;10;5400
07.01.2013 11:30;0.195056643;28;10;5400
07.01.2013 11:45;0.155715757;28;10;7000
07.01.2013 12:00;0.241812564;28;10;10000
07.01.2013 12:15;0.35653965;28;10;7900
07.01.2013 12:30;0.258496395;28;10;5300
07.01.2013 12:45;0.173223481;28;10;5300
07.01.2013 13:00;0.372193615;28;10;5600
07.01.2013 13:15;0.330587024;28;10;5600
07.01.2013 13:30;0.272914521;28;10;6400
07.01.2013 13:45;0.188877446;28;10;9800
07.01.2013 14:00;0.116374871;28;10;6900
07.01.2013 14:15;0.222245108;28;10;5800
07.01.2013 14:30;0.114933059;28;10;5200
07.01.2013 14:45;0.079299691;28;10;5300
07.01.2013 15:00;0.056436663;28;10;5900
07.01.2013 15:15;0.021215242;28;10;6800
07.01.2013 15:30;0.007415036;28;10;5600
07.01.2013 15:45;0;28;10;5400
07.01.2013 16:00;0;28;10;9500
07.01.2013 16:15;0;28;10;7900
07.01.2013 16:30;0;28;10;5200
07.01.2013 16:45;0;28;10;5500
07.01.2013 17:00;0;28;10;5400
07.01.2013 17:15;0;28;10;5300
07.01.2013 17:30;0;28;10;9500
